level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2094	3198	-1	
2	1	1	0	0	0	595	82	33	45	-1	
3	1	1	1	0	0	595	66	33	61	-1	
4	1	1	1	1	0	595	82	33	45	-1	
5	1	1	1	1	1	595	82	33	45	0	QS
2	1	2	0	0	0	98	47	1561	204	-1	
3	1	2	1	0	0	98	47	1561	207	-1	
4	1	2	1	1	0	98	47	1561	84	-1	
5	1	2	1	1	1	98	48	63	82	0	補
5	1	2	1	1	2	169	51	80	65	0	A&
5	1	2	1	1	3	291	64	8	55	7	1
5	1	2	1	1	4	344	66	31	51	7	4
5	1	2	1	1	5	380	61	183	61	45	ルギー]
5	1	2	1	1	6	600	59	38	68	70	学
5	1	2	1	1	7	670	60	146	65	45	(3%
5	1	2	1	1	8	787	49	44	86	10	林
5	1	2	1	1	9	830	62	16	69	88	)
5	1	2	1	1	10	924	66	1	55	28	し
5	1	2	1	1	11	1048	54	70	57	60	ポート
5	1	2	1	1	12	1165	53	124	52	31	Ns
5	1	2	1	1	13	1260	49	30	86	36	1
5	1	2	1	1	14	1389	50	119	56	0	S//『
5	1	2	1	1	15	1539	47	39	47	90	メ
5	1	2	1	1	16	1598	49	21	40	30	て
5	1	2	1	1	17	1633	58	26	33	32	カ
4	1	2	1	2	0	889	200	273	51	-1	
5	1	2	1	2	1	889	200	87	51	66	5F
5	1	2	1	2	2	996	207	5	32	36	日
5	1	2	1	2	3	1037	204	21	46	0	天
5	1	2	1	2	4	1142	202	20	46	38	-
2	1	3	0	0	0	24	274	1023	170	-1	
3	1	3	1	0	0	24	274	1023	170	-1	
4	1	3	1	1	0	24	274	1023	170	-1	
5	1	3	1	1	1	24	323	48	67	0	和
5	1	3	1	1	2	91	275	102	169	28	き
5	1	3	1	1	3	187	274	196	170	41	EE
5	1	3	1	1	4	416	325	136	118	0	四
5	1	3	1	1	5	546	327	30	50	0	導
5	1	3	1	1	6	692	330	355	76	10	信二
2	1	4	0	0	0	1274	192	131	63	-1	
3	1	4	1	0	0	1274	192	131	63	-1	
4	1	4	1	1	0	1286	192	37	12	-1	
5	1	4	1	1	1	1286	192	37	12	8	7/
4	1	4	1	2	0	1286	203	119	21	-1	
5	1	4	1	2	1	1286	205	12	15	0	計
5	1	4	1	2	2	1382	203	23	21	89	ワ
4	1	4	1	3	0	1285	219	113	15	-1	
5	1	4	1	3	1	1285	221	11	13	0	和
5	1	4	1	3	2	1320	221	2	3	0	誠
