level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	550	780	-1	
2	1	1	0	0	0	47	45	148	20	-1	
3	1	1	1	0	0	47	45	148	20	-1	
4	1	1	1	1	0	47	45	148	10	-1	
5	1	1	1	1	1	47	45	107	9	0	時!
5	1	1	1	1	2	103	35	20	28	0	の
5	1	1	1	1	3	122	45	32	9	18	生計
5	1	1	1	1	4	166	46	1	7	86	4
5	1	1	1	1	5	174	46	21	9	5	nrs7
4	1	1	1	2	0	94	57	83	8	-1	
5	1	1	1	2	1	94	59	4	6	0	っ
5	1	1	1	2	2	171	57	6	8	26	四
2	1	2	0	0	0	175	91	6	8	-1	
3	1	2	1	0	0	175	91	6	8	-1	
4	1	2	1	1	0	175	91	6	8	-1	
5	1	2	1	1	1	175	91	6	8	69	日
2	1	3	0	0	0	60	120	102	1	-1	
3	1	3	1	0	0	60	120	102	1	-1	
4	1	3	1	1	0	60	120	102	1	-1	
5	1	3	1	1	1	60	120	102	1	95	 
2	1	4	0	0	0	117	119	1	29	-1	
3	1	4	1	0	0	117	119	1	29	-1	
4	1	4	1	1	0	117	119	1	29	-1	
5	1	4	1	1	1	117	119	1	29	95	 
2	1	5	0	0	0	127	120	1	28	-1	
3	1	5	1	0	0	127	120	1	28	-1	
4	1	5	1	1	0	127	120	1	28	-1	
5	1	5	1	1	1	127	120	1	28	95	 
2	1	6	0	0	0	161	120	1	28	-1	
3	1	6	1	0	0	161	120	1	28	-1	
4	1	6	1	1	0	161	120	1	28	-1	
5	1	6	1	1	1	161	120	1	28	95	 
2	1	7	0	0	0	61	147	102	1	-1	
3	1	7	1	0	0	61	147	102	1	-1	
4	1	7	1	1	0	61	147	102	1	-1	
5	1	7	1	1	1	61	147	102	1	95	 
2	1	8	0	0	0	63	182	301	3	-1	
3	1	8	1	0	0	63	182	301	3	-1	
4	1	8	1	1	0	63	182	301	3	-1	
5	1	8	1	1	1	63	182	301	3	95	 
2	1	9	0	0	0	63	182	301	3	-1	
3	1	9	1	0	0	63	182	301	3	-1	
4	1	9	1	1	0	63	182	301	3	-1	
5	1	9	1	1	1	63	182	301	3	95	 
2	1	10	0	0	0	63	183	301	3	-1	
3	1	10	1	0	0	63	183	301	3	-1	
4	1	10	1	1	0	63	183	301	3	-1	
5	1	10	1	1	1	63	183	301	3	95	 
2	1	11	0	0	0	280	184	3	35	-1	
3	1	11	1	0	0	280	184	3	35	-1	
4	1	11	1	1	0	280	184	3	35	-1	
5	1	11	1	1	1	280	184	3	35	95	 
2	1	12	0	0	0	280	186	1	33	-1	
3	1	12	1	0	0	280	186	1	33	-1	
4	1	12	1	1	0	280	186	1	33	-1	
5	1	12	1	1	1	280	186	1	33	95	 
2	1	13	0	0	0	61	120	3	101	-1	
3	1	13	1	0	0	61	120	3	101	-1	
4	1	13	1	1	0	61	120	3	101	-1	
5	1	13	1	1	1	61	120	3	101	95	 
2	1	14	0	0	0	63	120	1	102	-1	
3	1	14	1	0	0	63	120	1	102	-1	
4	1	14	1	1	0	63	120	1	102	-1	
5	1	14	1	1	1	63	120	1	102	95	 
2	1	15	0	0	0	122	182	1	40	-1	
3	1	15	1	0	0	122	182	1	40	-1	
4	1	15	1	1	0	122	182	1	40	-1	
5	1	15	1	1	1	122	182	1	40	95	 
2	1	16	0	0	0	156	182	1	40	-1	
3	1	16	1	0	0	156	182	1	40	-1	
4	1	16	1	1	0	156	182	1	40	-1	
5	1	16	1	1	1	156	182	1	40	95	 
2	1	17	0	0	0	368	194	3	27	-1	
3	1	17	1	0	0	368	194	3	27	-1	
4	1	17	1	1	0	368	194	3	27	-1	
5	1	17	1	1	1	368	194	3	27	95	 
2	1	18	0	0	0	63	217	307	4	-1	
3	1	18	1	0	0	63	217	307	4	-1	
4	1	18	1	1	0	63	217	307	4	-1	
5	1	18	1	1	1	63	217	307	4	95	 
2	1	19	0	0	0	63	220	308	1	-1	
3	1	19	1	0	0	63	220	308	1	-1	
4	1	19	1	1	0	63	220	308	1	-1	
5	1	19	1	1	1	63	220	308	1	95	 
2	1	20	0	0	0	62	223	57	17	-1	
3	1	20	1	0	0	62	223	57	17	-1	
4	1	20	1	1	0	69	223	7	7	-1	
5	1	20	1	1	1	69	223	7	7	0	遇
4	1	20	1	2	0	62	232	57	8	-1	
5	1	20	1	2	1	62	232	57	8	32	を
5	1	20	1	2	2	107	221	17	28	13	る
2	1	21	0	0	0	273	237	190	4	-1	
3	1	21	1	0	0	273	237	190	4	-1	
4	1	21	1	1	0	273	237	190	4	-1	
5	1	21	1	1	1	273	237	190	4	95	 
2	1	22	0	0	0	271	239	192	1	-1	
3	1	22	1	0	0	271	239	192	1	-1	
4	1	22	1	1	0	271	239	192	1	-1	
5	1	22	1	1	1	271	239	192	1	95	 
2	1	23	0	0	0	273	239	190	3	-1	
3	1	23	1	0	0	273	239	190	3	-1	
4	1	23	1	1	0	273	239	190	3	-1	
5	1	23	1	1	1	273	239	190	3	95	 
2	1	24	0	0	0	271	239	1	34	-1	
3	1	24	1	0	0	271	239	1	34	-1	
4	1	24	1	1	0	271	239	1	34	-1	
5	1	24	1	1	1	271	239	1	34	95	 
2	1	25	0	0	0	273	239	1	33	-1	
3	1	25	1	0	0	273	239	1	33	-1	
4	1	25	1	1	0	273	239	1	33	-1	
5	1	25	1	1	1	273	239	1	33	95	 
2	1	26	0	0	0	308	239	1	33	-1	
3	1	26	1	0	0	308	239	1	33	-1	
4	1	26	1	1	0	308	239	1	33	-1	
