level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3509	-1	
2	1	1	0	0	0	88	1597	43	188	-1	
3	1	1	1	0	0	88	1597	43	188	-1	
4	1	1	1	1	0	88	1597	43	188	-1	
5	1	1	1	1	1	88	1642	43	143	0	emr2v
5	1	1	1	1	2	88	1597	39	25	65	う
2	1	2	0	0	0	1136	301	947	8	-1	
3	1	2	1	0	0	1136	301	947	8	-1	
4	1	2	1	1	0	1136	301	947	8	-1	
5	1	2	1	1	1	1136	301	947	8	95	 
2	1	3	0	0	0	339	294	484	45	-1	
3	1	3	1	0	0	339	294	484	45	-1	
4	1	3	1	1	0	339	294	484	45	-1	
5	1	3	1	1	1	339	299	18	34	93	く
5	1	3	1	1	2	364	294	83	43	95	電気
5	1	3	1	1	3	465	295	93	43	94	電子
5	1	3	1	1	4	563	294	62	43	96	創造
5	1	3	1	1	5	644	294	69	44	96	工学
5	1	3	1	1	6	731	294	68	45	95	演習
5	1	3	1	1	7	804	300	19	34	80	>
2	1	4	0	0	0	1136	302	5	92	-1	
3	1	4	1	0	0	1136	302	5	92	-1	
4	1	4	1	1	0	1136	302	5	92	-1	
5	1	4	1	1	1	1136	302	5	92	95	 
2	1	5	0	0	0	2078	302	5	91	-1	
3	1	5	1	0	0	2078	302	5	91	-1	
4	1	5	1	1	0	2078	302	5	91	-1	
5	1	5	1	1	1	2078	302	5	91	95	 
2	1	6	0	0	0	1136	386	947	7	-1	
3	1	6	1	0	0	1136	386	947	7	-1	
4	1	6	1	1	0	1136	386	947	7	-1	
5	1	6	1	1	1	1136	386	947	7	95	 
2	1	7	0	0	0	1520	432	570	8	-1	
3	1	7	1	0	0	1520	432	570	8	-1	
4	1	7	1	1	0	1520	432	570	8	-1	
5	1	7	1	1	1	1520	432	570	8	95	 
2	1	8	0	0	0	922	564	583	5	-1	
3	1	8	1	0	0	922	564	583	5	-1	
4	1	8	1	1	0	922	564	583	5	-1	
5	1	8	1	1	1	922	564	583	5	95	 
2	1	9	0	0	0	342	317	1706	260	-1	
3	1	9	1	0	0	342	317	1712	260	-1	
4	1	9	1	1	0	1167	317	817	70	-1	
5	1	9	1	1	1	1167	328	83	44	95	演習
5	1	9	1	1	2	1263	328	28	43	96	名
5	1	9	1	1	3	1359	321	27	32	0	容
5	1	9	1	1	4	1406	317	63	64	29	人
5	1	9	1	1	5	1492	332	25	45	0	す
5	1	9	1	1	6	1535	321	20	61	21	を
5	1	9	1	1	7	1562	327	34	45	35	り
5	1	9	1	1	8	1602	321	20	44	0	浴
5	1	9	1	1	9	1639	332	17	33	0	了
5	1	9	1	1	10	1681	318	42	57	12	学
5	1	9	1	1	11	1730	327	29	33	0	%
5	1	9	1	1	12	1776	322	32	57	4	が
5	1	9	1	1	13	1875	321	109	66	0	回
4	1	9	1	2	0	559	459	1385	70	-1	
5	1	9	1	2	1	559	504	14	13	87	(@
5	1	9	1	2	2	985	496	26	21	0	ー
5	1	9	1	2	3	1029	473	40	47	0	友
5	1	9	1	2	4	1137	491	26	38	41	(2
5	1	9	1	2	5	1559	459	76	41	0	届き
5	1	9	1	2	6	1658	481	22	31	14	3
5	1	9	1	2	7	1942	503	2	2	36	人
4	1	9	1	3	0	342	464	1706	113	-1	
5	1	9	1	3	1	342	522	38	40	81	出
5	1	9	1	3	2	387	521	38	41	39	記
5	1	9	1	3	3	436	486	115	98	42	番号
5	1	9	1	3	4	574	486	26	98	76	う
5	1	9	1	3	5	599	486	99	98	57	EI(
5	1	9	1	3	6	836	523	79	40	41	大名
5	1	9	1	3	7	979	508	84	55	0	二
5	1	9	1	3	8	1099	535	9	8	26	を
5	1	9	1	3	9	1107	490	124	58	0	人
5	1	9	1	3	10	1195	486	42	98	92	や
5	1	9	1	3	11	1672	481	79	71	53	(1
5	1	9	1	3	12	1894	464	82	102	60	の
5	1	9	1	3	13	2011	535	37	42	25	ょ
2	1	10	0	0	0	1797	434	5	154	-1	
3	1	10	1	0	0	1797	434	5	154	-1	
4	1	10	1	1	0	1797	434	5	154	-1	
5	1	10	1	1	1	1797	434	5	154	95	 
2	1	11	0	0	0	1521	434	5	154	-1	
3	1	11	1	0	0	1521	434	5	154	-1	
4	1	11	1	1	0	1521	434	5	154	-1	
5	1	11	1	1	1	1521	434	5	154	95	 
2	1	12	0	0	0	1849	434	5	152	-1	
3	1	12	1	0	0	1849	434	5	152	-1	
4	1	12	1	1	0	1849	434	5	152	-1	
5	1	12	1	1	1	1849	434	5	152	95	 
2	1	13	0	0	0	2081	302	12	284	-1	
3	1	13	1	0	0	2081	302	12	284	-1	
4	1	13	1	1	0	2081	302	12	284	-1	
5	1	13	1	1	1	2081	302	12	284	95	 
2	1	14	0	0	0	1520	578	570	11	-1	
3	1	14	1	0	0	1520	578	570	11	-1	
4	1	14	1	1	0	1520	578	570	11	-1	
5	1	14	1	1	1	1520	578	570	11	95	 
2	1	15	0	0	0	204	616	2057	80	-1	
3	1	15	1	0	0	204	616	2057	80	-1	
4	1	15	1	1	0	204	616	2057	80	-1	
5	1	15	1	1	1	204	632	40	57	88	3、
5	1	15	1	1	2	298	631	53	63	0	宮
5	1	15	1	1	3	377	640	74	48	47	0
