level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3509	-1	
2	1	1	0	0	0	1135	294	948	27	-1	
3	1	1	1	0	0	1135	294	948	27	-1	
4	1	1	1	1	0	1135	294	948	27	-1	
5	1	1	1	1	1	1135	294	948	27	95	 
2	1	2	0	0	0	302	297	520	51	-1	
3	1	2	1	0	0	302	297	520	51	-1	
4	1	2	1	1	0	302	297	520	51	-1	
5	1	2	1	1	1	302	346	3	2	7	、
5	1	2	1	1	2	338	297	18	39	65	く
5	1	2	1	1	3	363	298	83	42	96	電気
5	1	2	1	1	4	460	298	93	43	95	電子
5	1	2	1	1	5	563	298	61	43	94	創造
5	1	2	1	1	6	639	298	73	43	96	工学
5	1	2	1	1	7	725	298	73	44	94	演習
5	1	2	1	1	8	804	303	18	33	96	>
2	1	3	0	0	0	1135	305	7	91	-1	
3	1	3	1	0	0	1135	305	7	91	-1	
4	1	3	1	1	0	1135	305	7	91	-1	
5	1	3	1	1	1	1135	305	7	91	95	 
2	1	4	0	0	0	1167	316	672	69	-1	
3	1	4	1	0	0	1167	316	672	69	-1	
4	1	4	1	1	0	1167	316	672	69	-1	
5	1	4	1	1	1	1167	331	123	45	0	潰
5	1	4	1	1	2	1235	312	44	87	84	習
5	1	4	1	1	3	1279	312	37	87	91	名
5	1	4	1	1	4	1329	347	1	24	85	:
5	1	4	1	1	5	1380	324	13	52	67	や
5	1	4	1	1	6	1409	316	162	69	36	えす
5	1	4	1	1	7	1586	328	38	48	0	負
5	1	4	1	1	8	1639	340	25	33	0	液
5	1	4	1	1	9	1676	326	38	50	73	エ
5	1	4	1	1	10	1730	323	109	62	0	深
5	1	4	1	1	11	1786	312	52	87	0	才
2	1	5	0	0	0	2077	304	7	92	-1	
3	1	5	1	0	0	2077	304	7	92	-1	
4	1	5	1	1	0	2077	304	7	92	-1	
5	1	5	1	1	1	2077	304	7	92	95	 
2	1	6	0	0	0	1136	380	947	26	-1	
3	1	6	1	0	0	1136	380	947	26	-1	
4	1	6	1	1	0	1136	380	947	26	-1	
5	1	6	1	1	1	1136	380	947	26	95	 
2	1	7	0	0	0	1520	430	569	18	-1	
3	1	7	1	0	0	1520	430	569	18	-1	
4	1	7	1	1	0	1520	430	569	18	-1	
5	1	7	1	1	1	1520	430	569	18	95	 
2	1	8	0	0	0	921	561	584	17	-1	
3	1	8	1	0	0	921	561	584	17	-1	
4	1	8	1	1	0	921	561	584	17	-1	
5	1	8	1	1	1	921	561	584	17	95	 
2	1	9	0	0	0	1795	436	8	156	-1	
3	1	9	1	0	0	1795	436	8	156	-1	
4	1	9	1	1	0	1795	436	8	156	-1	
5	1	9	1	1	1	1795	436	8	156	95	 
2	1	10	0	0	0	1519	436	7	155	-1	
3	1	10	1	0	0	1519	436	7	155	-1	
4	1	10	1	1	0	1519	436	7	155	-1	
5	1	10	1	1	1	1519	436	7	155	95	 
2	1	11	0	0	0	1847	437	8	152	-1	
3	1	11	1	0	0	1847	437	8	152	-1	
4	1	11	1	1	0	1847	437	8	152	-1	
5	1	11	1	1	1	1847	437	8	152	95	 
2	1	12	0	0	0	2083	436	7	152	-1	
3	1	12	1	0	0	2083	436	7	152	-1	
4	1	12	1	1	0	2083	436	7	152	-1	
5	1	12	1	1	1	2083	436	7	152	95	 
2	1	13	0	0	0	1521	575	569	21	-1	
3	1	13	1	0	0	1521	575	569	21	-1	
4	1	13	1	1	0	1521	575	569	21	-1	
5	1	13	1	1	1	1521	575	569	21	95	 
2	1	14	0	0	0	823	2479	68	6	-1	
3	1	14	1	0	0	823	2479	68	6	-1	
4	1	14	1	1	0	823	2479	68	6	-1	
5	1	14	1	1	1	823	2479	68	6	95	 
2	1	15	0	0	0	324	3079	508	15	-1	
3	1	15	1	0	0	324	3079	508	15	-1	
4	1	15	1	1	0	324	3079	508	15	-1	
5	1	15	1	1	1	324	3079	508	15	95	 
2	1	16	0	0	0	92	462	1995	2695	-1	
3	1	16	1	0	0	92	462	1995	2675	-1	
4	1	16	1	1	0	483	462	1512	98	-1	
5	1	16	1	1	1	483	510	4	4	65	3
5	1	16	1	1	2	983	480	78	30	29	eS
5	1	16	1	1	3	1247	481	2	3	52	8
5	1	16	1	1	4	1559	462	78	41	34	目付
5	1	16	1	1	5	1663	487	20	29	71	こ
5	1	16	1	1	6	1734	468	27	43	2	5
